Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
2013-04-09,11:52:50,28.428,51.593,Earthquake,12.0,,427.0,6.4,MWW,,,20.6,,,0.83,USB000G2Y5,US,US,US,Reviewed
2013-04-10,20:20:27,20.722,122.064,Earthquake,11.5,8.0,384.0,5.8,MWW,,,15.4,,,1.07,USB000G4CA,US,US,US,Reviewed
2013-04-11,03:47:03,19.258,95.623,Earthquake,9.9,2.2,325.0,5.5,MB,,205.0,23.0,,,0.89,USB000G4NW,US,US,US,Reviewed
2013-04-11,15:28:29,-17.34,175.059,Earthquake,21.4,4.1,267.0,5.7,MWW,,,49.0,,,1.07,USB000G4Z6,US,US,US,Reviewed
2013-04-12,20:33:18,34.369,134.828,Earthquake,14.0,,535.0,5.8,MWW,,,13.0,,,0.77,USB000G5YG,US,US,US,Reviewed
2013-04-13,22:49:51,-19.141,169.535,Earthquake,280.2,3.9,632.0,6.0,MWW,,,14.1,,,1.04,USB000G6IT,US,US,US,Reviewed
2013-04-14,01:32:23,-6.475,154.607,Earthquake,31.0,,491.0,6.6,MWW,,,11.5,,,0.64,USB000G6LC,US,US,US,Reviewed
2013-04-16,10:00:23,-6.589,154.434,Earthquake,7.0,,227.0,5.7,MWW,,,17.0,,,1.17,USB000G7W7,US,US,US,Reviewed
2013-04-16,10:44:20,28.033,61.996,Earthquake,80.0,,506.0,7.7,MWW,,,26.6,,,1.09,USB000G7X7,US,US,US,Reviewed
2013-04-16,22:55:27,-3.214,142.542,Earthquake,13.0,,445.0,6.6,MWW,,,11.0,,,1.06,USB000G8MY,US,US,US,Reviewed
2013-04-17,03:15:52,28.114,62.354,Earthquake,56.2,3.6,349.0,5.6,MWW,,,19.0,,,1.12,USB000G8RT,US,US,US,Reviewed
2013-04-17,05:05:03,-2.768,138.75,Earthquake,50.4,4.5,234.0,5.5,MWB,,,18.0,,,0.99,USB000G8TI,US,US,US,Reviewed
2013-04-17,08:57:34,33.958,139.352,Earthquake,8.8,3.6,249.0,5.6,MWB,,,65.0,,,1.21,USB000G9YI,US,US,US,Reviewed
2013-04-17,12:03:32,38.475,141.63,Earthquake,50.5,3.7,421.0,5.9,MWW,,,21.0,,,0.71,USB000G940,US,US,US,Reviewed
2013-04-18,14:08:35,24.924,123.356,Earthquake,10.0,,88.0,5.5,MWC,,,49.4,,,0.95,USB000GAGM,US,US,GCMT,Reviewed
2013-04-18,21:26:36,-34.343,-109.213,Earthquake,10.0,,290.0,5.5,MWC,,,36.8,,,0.83,US2013PDA1,US,US,GCMT,Reviewed
2013-04-19,03:05:53,46.221,150.788,Earthquake,110.0,,770.0,7.2,MWW,,,10.1,,,0.86,USB000GBF8,US,US,US,Reviewed
2013-04-19,17:51:41,-11.976,121.632,Earthquake,15.2,2.7,341.0,5.8,MWW,,,12.0,,,1.11,USB000GC0Z,US,US,US,Reviewed
2013-04-19,19:58:40,49.965,157.652,Earthquake,15.0,,599.0,6.1,MWW,,,16.0,,,0.78,USB000GC6M,US,US,US,Reviewed
2013-04-20,00:02:48,30.308,102.888,Earthquake,14.0,,548.0,6.6,MWW,,,12.6,,,1.08,USB000GCDD,US,US,US,Reviewed
2013-04-20,03:42:02,-5.002,152.111,Earthquake,65.3,3.1,357.0,5.7,MWW,,,27.8,,,0.59,USB000GCGL,US,US,US,Reviewed
2013-04-20,04:51:12,-6.292,130.218,Earthquake,108.1,2.7,456.0,5.9,MWW,,,12.9,,,0.73,USB000GCGU,US,US,US,Reviewed
2013-04-20,05:11:58,-54.78,1.173,Earthquake,11.0,,73.0,5.8,MWW,,,57.0,,,0.71,USB000GCH7,US,US,US,Reviewed
